city1,city2,Year,quarter,fare
"Greenville/Spartanburg, SC","New York City, NY (Metropolitan Area)",2025,3,205.98
"Cleveland, OH (Metropolitan Area)","Dallas/Fort Worth, TX",2025,3,253.74
"Chicago, IL","St. Louis, MO",2025,3,231.14
"Charlotte, NC","Minneapolis/St. Paul, MN",2025,3,237.41
"Cincinnati, OH","Washington, DC (Metropolitan Area)",2025,3,193.05
"Kansas City, MO","Las Vegas, NV",2025,3,228.1
"Hartford, CT","Washington, DC (Metropolitan Area)",2025,3,209.53
"Philadelphia, PA","San Diego, CA",2025,3,316.95
"Cincinnati, OH","Miami, FL (Metropolitan Area)",2025,3,177.96
"Raleigh/Durham, NC","Tampa, FL (Metropolitan Area)",2025,3,154.73
"Philadelphia, PA","Phoenix, AZ",2025,3,328.59
"Seattle, WA","Spokane, WA",2025,3,181.17
"Columbus, OH","Miami, FL (Metropolitan Area)",2025,3,170.94
"Boston, MA (Metropolitan Area)","Indianapolis, IN",2025,3,282.08
"Seattle, WA","St. Louis, MO",2025,3,257.8
"Boise, ID","San Francisco, CA (Metropolitan Area)",2025,3,186.02
"Detroit, MI","San Diego, CA",2025,3,307.82
"Seattle, WA","Tampa, FL (Metropolitan Area)",2025,3,319.54
"Atlanta, GA (Metropolitan Area)","Columbus, OH",2025,3,225.54
"Chicago, IL","Jacksonville, FL",2025,3,226.26
"Raleigh/Durham, NC","Seattle, WA",2025,3,307.55
"Miami, FL (Metropolitan Area)","St. Louis, MO",2025,3,215.64
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2025,3,225.48
"Indianapolis, IN","Las Vegas, NV",2025,3,224.1
"Fort Myers, FL","Washington, DC (Metropolitan Area)",2025,3,213.06
"Houston, TX","Salt Lake City, UT",2025,3,304.78
"Columbus, OH","Denver, CO",2025,3,243.91
"Boston, MA (Metropolitan Area)","St. Louis, MO",2025,3,283.7
"Houston, TX","Midland/Odessa, TX",2025,3,273.5
"Dallas/Fort Worth, TX","Pittsburgh, PA",2025,3,264.81
"Chicago, IL","Sacramento, CA",2025,3,302.86
"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",2025,3,157.91
"Atlanta, GA (Metropolitan Area)","Kansas City, MO",2025,3,260.94
"Kansas City, MO","Seattle, WA",2025,3,263.59
"Boston, MA (Metropolitan Area)","Cincinnati, OH",2025,3,278.1
